Cycle,Label Set Size,Backward Steps,Accuracy,Precision,Recall,F1
1,1000,1466,47.070000648498535,0.4989323282658788,0.4707,0.4655689952142908
2,2000,1626,55.69000072479248,0.5786567687449694,0.5569,0.559662712651081
3,3000,1866,61.66000099182129,0.6295582934022922,0.6166,0.6192644190264175
4,4000,2186,66.65000247955322,0.6739563770265367,0.6665,0.6687262951585299
5,5000,2586,70.01000137329102,0.7073160316535452,0.7001,0.7011594405156044
6,6000,3056,77.47000083923339,0.779649482067215,0.7747,0.7763207622418374
7,7000,3606,81.04000205993653,0.8137305482396041,0.8104,0.8114478559474129
8,8000,4236,85.25000228881837,0.8553153912136888,0.8525,0.8534258758239094
9,9000,4946,88.0000015258789,0.8820849962320059,0.88,0.8806820051377543
10,10000,5736,89.78000183105469,0.8991685544178591,0.8978,0.8981833011037604
11,11000,6596,91.7900016784668,0.9189031073544597,0.9179,0.918179439786189
