Cycle,Label Set Size,Backward Steps,Accuracy,Precision,Recall,F1
1,1000,773,19.300000381469726,0.25016841514669574,0.193,0.1799537958382026
2,2000,933,28.520000457763672,0.3069540584600984,0.2852,0.2765289205314264
3,3000,1173,39.44000053405762,0.4102871966467197,0.3944,0.3925077983679635
4,4000,1493,48.620001220703124,0.5042578295755599,0.4862,0.4885182477211334
5,5000,1893,55.60000114440918,0.5675385444658845,0.556,0.5571164516193898
6,6000,2363,64.67999992370605,0.6558272717390994,0.6468,0.6484922918327354
7,7000,2913,69.52000045776367,0.7017799639992252,0.6952,0.6957735871081702
8,8000,3543,75.02000198364257,0.7553794920212151,0.7502,0.7507488741914758
9,9000,4253,79.02000122070312,0.7938391497850236,0.7902,0.7904441345606505
10,10000,5043,82.5000015258789,0.8280551042914014,0.825,0.8252430410374474
11,11000,5903,86.44000244140625,0.8665505505393841,0.8644,0.864718680131074
12,12000,6843,88.9000015258789,0.8908392403522488,0.889,0.8891247475716011
13,13000,7863,90.74000091552735,0.9085416416262122,0.9074,0.9075821962842854
