Cycle,Label Set Size,Backward Steps,Accuracy,Precision,Recall,F1
1,1000,374,5.800000071525574,0.7835599392071596,0.058,0.01915282861161729
2,2000,534,9.40000033378601,0.6548918667062785,0.094,0.050247612456555096
3,3000,774,13.750000238418579,0.4784896571816488,0.1375,0.10282260910913582
4,4000,1094,21.350000381469727,0.45130873838386354,0.2135,0.19315059625431383
5,5000,1494,30.65000009536743,0.40233618374970265,0.3065,0.3028967989887254
6,6000,1964,47.80000019073486,0.5428870874123056,0.478,0.486516920156997
7,7000,2514,64.95000267028809,0.6691319213436815,0.6495,0.6518105227126295
8,8000,3144,81.30000114440918,0.8202322156052325,0.813,0.8145553258561286
9,9000,3854,92.4000015258789,0.9246122805815887,0.924,0.9239466587850947
