Cycle,Label Set Size,Backward Steps,Accuracy,Precision,Recall,F1
1,1000,353,34.002111815600614,0.3523166763002821,0.3400211193241816,0.33016926405548197
2,2000,513,43.664202902611606,0.43952740776601895,0.43664202745512143,0.4341482335498182
3,3000,753,53.273496037677575,0.5422743252264524,0.5327349524815206,0.5327062212080008
4,4000,1073,66.73706421252918,0.6668525746185058,0.6673706441393875,0.6659719729280125
5,5000,1473,67.95142574773544,0.6837576341066797,0.6795142555438226,0.6801538479068605
6,6000,1943,80.09503754693327,0.8025505354454436,0.8009503695881732,0.8010428898220741
7,7000,2493,88.91235349951224,0.89012646444601,0.8891235480464625,0.8892648774811766
8,8000,3123,94.77296742617517,0.9483234536205264,0.9477296726504751,0.9477890858918262
